Content,Label ,,,
aplikasi nya sih bagus cumak sayang iklan nya gangu kecewa,Netral,,,
bagus,Positif,,,
aplikasi bagus susah masuk,Netral,,,
bagus banget edit foto nya,Positif,,,
bagus deh intinya,Positif,,,
bagus banget punyaku eror,Netral,,,
jelek ful premium bikin pov roblox mending aligmotion enga master,Negatif,,,
suka ini,Positif,,,
bagus template bagus pakek banyak pro aja pas buka aplikasi ngak apapaindi pencet aplikasi nya mohon baik bug aplikasi nya makasih,Netral,,,
bagus nge leg tolong baik capcut nge leg,Netral,,,
bagus banget tpi kecil iklan jangan pake berlian,Netral,,,
bagus,Positif,,,
capcut nya bagus lagi,Positif,,,
bagus,Positif,,,
seru banget syg suka iklan,Netral,,,
aplikasi nya bagus cuman ngelag,Netral,,,
tolong aplikasi bagus dongmasa update bnyak iklan iklan gak kayak sekarangbahkan ngekspor nonton iklan tolong kembali lagisaya tuju ekspor nonton iklan karenasupaya orang beli pro,Netral,,,
bagus banget,Positif,,,
bagus banget sih,Positif,,,
jelek banget orang ekspor gabisa gak pake yng fitur pro tulistrus masukin akun gabisa usia,Negatif,,,
mayan bagus sih iklan terus pas download lgi gabisa,Netral,,,
aplikasi bagus banyak iklan,Netral,,,
jelek karna pro gak bebas foto edit,Negatif,,,
bagustapi plis iklanya banyak ,Netral,,,
stres byk iklan ngeleg parah,Negatif,,,
aplikasi nya bagus minus nya kikir,Netral,,,
aplikasi gak rekomendasi hrus bayar iklan byk bnr fitur hapus,Negatif,,,
jelek skrg bnyk lag ,Negatif,,,
patah patah,Negatif,,,
aplikasi gajelas,Negatif,,,
aplikasi buruk,Negatif,,,
aplikasi nya bagustapi edit capcut aplikasi ngebug ruang simpan tdak penuh,Netral,,,
kecewa bintang fitur nya banyak pro suka,Negatif,,,
bagus sih cuman kaku kalo udah edit tolong jadin capcut nya biar nga kaku,Netral,,,
lambat banyak beli dlm aplikasi,Negatif,,,
ngeleg gak suka,Negatif,,,
aplikasi nya jelek gajelas bnyk banget iklan nya fitur nya premium jelek poko jelek bgt,Negatif,,,
jelek bngtkalo iklan suka gada selesai nya tanda benerin gua mah jelek bngtdikit iklan jelek,Negatif,,,
bagus sih aplikasi nya sayang banyak iklan,Netral,,,
banyak iklan bnyk yang bayar terus nge lag,Negatif,,,
aplikasi rusak,Negatif,,,
aplikasi bgus edit foto tpi kadang suka ngeleg sndri terus krain nya yang penuh memory tau aplikasi nya deh tpi suka bnget sma aplikasi,Netral,,,
bagus banget minus nya iklan aja,Netral,,,
jelek iklan kalo gak download iklan layar pokok jelek udah iklan,Negatif,,,
aplikasi buruk suka eror mending ganti aplikasi aja,Negatif,,,
capcut bagus tetepi banyak iklan,Netral,,,
banyak iklan gasuka,Negatif,,,
bagus cuman jelek nya iklan nya iklan nya iklan nya cuman gus durasi,Netral,,,
banyak iklan pro gak banget,Negatif,,,
jujur aplikasi bagus sbnrny serba pro fitur yng gratis pakai kaya ekstrak audio yang pro sulit banget,Netral,,,
gak suka,Negatif,,,
jelek iklan,Negatif,,,
suka banget aplikasi iklan nya yang bikin kesal,Netral,,,
gak bagus,Negatif,,,
jelek hancur vidio patah iklan nya jelk,Negatif,,,
kecewa banget udah pake capcut apaharus bayar iklan pas buka aplikasi iklan ekspor iklan apaiklan seolahnyuruh bayar paksa suka,Negatif,,,
bnyk iklan,Negatif,,,
capcut nya gak bagus iklan yang gak guna,Negatif,,,
jelek banget aplikasi buang aja hiyek gak guna,Negatif,,,
kesini bnyk iklan aplikasi payah,Negatif,,,
banyak iklan,Negatif,,,
aplikasi burik suruh bayarjadi malas make aplikasi,Negatif,,,
