Rating,Komentar,Review,text_clean,text_CaseFolding,text_Tokenized,text_Stopwords,text_Stemmed,text_normalized_stemmed
5,yang bisa saya bantu untuk meningkatkan,yang bisa saya bantu untuk meningkatkan,yang bisa saya bantu untuk meningkatkan,yang bisa saya bantu untuk meningkatkan,"['yang', 'bisa', 'saya', 'bantu', 'untuk', 'meningkatkan']","['bantu', 'meningkatkan']",bantu tingkat,bantu tingkat
5,terimakasih sdh membuat apk ini,terimakasih sdh membuat apk ini,terimakasih sdh membuat apk ini,terimakasih sdh membuat apk ini,"['terimakasih', 'sdh', 'membuat', 'apk', 'ini']","['terimakasih', 'sdh', 'apk']",terimakasih sdh apk,terimakasih sdh aplikasi
4,"bagus,tapi kalo mau ekspor harus iklan dulu, males","bagus,tapi kalo mau ekspor harus iklan dulu, males",bagustapi kalo mau ekspor harus iklan dulu males,bagustapi kalo mau ekspor harus iklan dulu males,"['bagustapi', 'kalo', 'mau', 'ekspor', 'harus', 'iklan', 'dulu', 'males']","['bagustapi', 'kalo', 'ekspor', 'iklan', 'males']",bagustapi kalo ekspor iklan males,bagustapi kalo ekspor iklan males
1,You guys are so greedy. I have to watch a lot of ads just to export one small video.,You guys are so greedy. I have to watch a lot of ads just to export one small video.,You guys are so greedy I have to watch a lot of ads just to export one small video,you guys are so greedy i have to watch a lot of ads just to export one small video,"['you', 'guys', 'are', 'so', 'greedy', 'i', 'have', 'to', 'watch', 'a', 'lot', 'of', 'ads', 'just', 'to', 'export', 'one', 'small', 'video']","['you', 'guys', 'are', 'so', 'greedy', 'i', 'have', 'to', 'watch', 'a', 'lot', 'of', 'ads', 'just', 'to', 'export', 'one', 'small', 'video']",you guys are so greedy i have to watch a lot of ads just to export one small video,you guys are gredy have watch lot ads just export one smal video
5,kenapa enggk BS di update min?,kenapa enggk BS di update min?,kenapa enggk BS di update min,kenapa enggk bs di update min,"['kenapa', 'enggk', 'bs', 'di', 'update', 'min']","['enggk', 'bs', 'update', 'min']",enggk bs update min,engk update min
5,sangst bagus ketika aku menedit foto,sangst bagus ketika aku menedit foto,sangst bagus ketika aku menedit foto,sangst bagus ketika aku menedit foto,"['sangst', 'bagus', 'ketika', 'aku', 'menedit', 'foto']","['sangst', 'bagus', 'menedit', 'foto']",sangst bagus menedit foto,sangst bagus menedit foto
1,semua fitur pro anjirt kata nya gratis' eh pas di coba malah PRO Sumpil lebih baik ke AM sih ganti tuh deskripsi nya,semua fitur pro anjirt kata nya gratis' eh pas di coba malah PRO Sumpil lebih baik ke AM sih ganti tuh deskripsi nya,semua fitur pro anjirt kata nya gratis eh pas di coba malah PRO Sumpil lebih baik ke AM sih ganti tuh deskripsi nya,semua fitur pro anjirt kata nya gratis eh pas di coba malah pro sumpil lebih baik ke am sih ganti tuh deskripsi nya,"['semua', 'fitur', 'pro', 'anjirt', 'kata', 'nya', 'gratis', 'eh', 'pas', 'di', 'coba', 'malah', 'pro', 'sumpil', 'lebih', 'baik', 'ke', 'am', 'sih', 'ganti', 'tuh', 'deskripsi', 'nya']","['fitur', 'pro', 'anjirt', 'nya', 'gratis', 'eh', 'pas', 'coba', 'pro', 'sumpil', 'am', 'sih', 'ganti', 'tuh', 'deskripsi', 'nya']",fitur pro anjirt nya gratis eh pas coba pro sumpil am sih ganti tuh deskripsi nya,fitur pro anjirt nya gratis pas coba pro sumpil sih ganti tuh deskripsi nya
3,suka lag ga jelas,suka lag ga jelas,suka lag ga jelas,suka lag ga jelas,"['suka', 'lag', 'ga', 'jelas']","['suka', 'lag', 'ga']",suka lag ga,suka lag gak
1,"udah aplikasi kikir makin banyak bug pulak kesalahan teknis kesalahan teknis, tinggal ekspor video malah kesalahan teknis udah cape cape ngedit","udah aplikasi kikir makin banyak bug pulak kesalahan teknis kesalahan teknis, tinggal ekspor video malah kesalahan teknis udah cape cape ngedit",udah aplikasi kikir makin banyak bug pulak kesalahan teknis kesalahan teknis tinggal ekspor video malah kesalahan teknis udah cape cape ngedit,udah aplikasi kikir makin banyak bug pulak kesalahan teknis kesalahan teknis tinggal ekspor video malah kesalahan teknis udah cape cape ngedit,"['udah', 'aplikasi', 'kikir', 'makin', 'banyak', 'bug', 'pulak', 'kesalahan', 'teknis', 'kesalahan', 'teknis', 'tinggal', 'ekspor', 'video', 'malah', 'kesalahan', 'teknis', 'udah', 'cape', 'cape', 'ngedit']","['udah', 'aplikasi', 'kikir', 'bug', 'pulak', 'kesalahan', 'teknis', 'kesalahan', 'teknis', 'tinggal', 'ekspor', 'video', 'kesalahan', 'teknis', 'udah', 'cape', 'cape', 'ngedit']",udah aplikasi kikir bug pulak salah teknis salah teknis tinggal ekspor video salah teknis udah cape cape ngedit,udah aplikasi kikir bug pulak salah teknis salah teknis tingal ekspor video salah teknis udah cape cape ngedit
3,kurang puas apa apa pake nonton iklan dulu baru bisa,kurang puas apa apa pake nonton iklan dulu baru bisa,kurang puas apa apa pake nonton iklan dulu baru bisa,kurang puas apa apa pake nonton iklan dulu baru bisa,"['kurang', 'puas', 'apa', 'apa', 'pake', 'nonton', 'iklan', 'dulu', 'baru', 'bisa']","['puas', 'pake', 'nonton', 'iklan']",puas pake nonton iklan,puas pake nonton iklan
5,"Aplikasih tidak baik,","Aplikasih tidak baik,",Aplikasih tidak baik,aplikasih tidak baik,"['aplikasih', 'tidak', 'baik']",['aplikasih'],aplikasih,aplikasih
1,iklan judol mulu bgst,iklan judol mulu bgst,iklan judol mulu bgst,iklan judol mulu bgst,"['iklan', 'judol', 'mulu', 'bgst']","['iklan', 'judol', 'mulu', 'bgst']",iklan judol mulu bgst,iklan judol mulu bgst
3,Hari ini buka capcut kok layar putih doang ya. Ada yang sama?,Hari ini buka capcut kok layar putih doang ya. Ada yang sama?,Hari ini buka capcut kok layar putih doang ya Ada yang sama,hari ini buka capcut kok layar putih doang ya ada yang sama,"['hari', 'ini', 'buka', 'capcut', 'kok', 'layar', 'putih', 'doang', 'ya', 'ada', 'yang', 'sama']","['buka', 'capcut', 'layar', 'putih', 'doang', 'ya']",buka capcut layar putih doang ya,buka capcut layar putih doang
1,banyak bug nyah jir,banyak bug nyah jir,banyak bug nyah jir,banyak bug nyah jir,"['banyak', 'bug', 'nyah', 'jir']","['bug', 'nyah', 'jir']",bug nyah jir,bug nyah jir
1,"Capcut is slowly becoming money hungry and that makes me sad, The pro features are worthless now and the best effects are pro","Capcut is slowly becoming money hungry and that makes me sad, The pro features are worthless now and the best effects are pro",Capcut is slowly becoming money hungry and that makes me sad The pro features are worthless now and the best effects are pro,capcut is slowly becoming money hungry and that makes me sad the pro features are worthless now and the best effects are pro,"['capcut', 'is', 'slowly', 'becoming', 'money', 'hungry', 'and', 'that', 'makes', 'me', 'sad', 'the', 'pro', 'features', 'are', 'worthless', 'now', 'and', 'the', 'best', 'effects', 'are', 'pro']","['capcut', 'is', 'slowly', 'becoming', 'money', 'hungry', 'and', 'that', 'makes', 'me', 'sad', 'the', 'pro', 'features', 'are', 'worthless', 'now', 'and', 'the', 'best', 'effects', 'are', 'pro']",capcut is slowly becoming money hungry and that makes me sad the pro features are worthless now and the best effects are pro,capcut slowly becoming money hungry and that makes sad the pro features are worthles now and the best efects are pro
5,aplikasi lontong. kenapa aku kasih bintang 5 karena biar naik ke peringkat paling atas.. dasar aplikasi lontong semuanya harus bayar,aplikasi lontong. kenapa aku kasih bintang 5 karena biar naik ke peringkat paling atas.. dasar aplikasi lontong semuanya harus bayar,aplikasi lontong kenapa aku kasih bintang  karena biar naik ke peringkat paling atas dasar aplikasi lontong semuanya harus bayar,aplikasi lontong kenapa aku kasih bintang  karena biar naik ke peringkat paling atas dasar aplikasi lontong semuanya harus bayar,"['aplikasi', 'lontong', 'kenapa', 'aku', 'kasih', 'bintang', 'karena', 'biar', 'naik', 'ke', 'peringkat', 'paling', 'atas', 'dasar', 'aplikasi', 'lontong', 'semuanya', 'harus', 'bayar']","['aplikasi', 'lontong', 'kasih', 'bintang', 'biar', 'peringkat', 'dasar', 'aplikasi', 'lontong', 'bayar']",aplikasi lontong kasih bintang biar peringkat dasar aplikasi lontong bayar,aplikasi lontong kasih bintang biar peringkat dasar aplikasi lontong bayar
4,loba iklan bngst,loba iklan bngst,loba iklan bngst,loba iklan bngst,"['loba', 'iklan', 'bngst']","['loba', 'iklan', 'bngst']",loba iklan bngst,loba iklan bngst
2,"sekalian saja aplikasinya dibikin berbayar, nanggung kali soalnya😁","sekalian saja aplikasinya dibikin berbayar, nanggung kali soalnya😁",sekalian saja aplikasinya dibikin berbayar nanggung kali soalnya,sekalian saja aplikasinya dibikin berbayar nanggung kali soalnya,"['sekalian', 'saja', 'aplikasinya', 'dibikin', 'berbayar', 'nanggung', 'kali', 'soalnya']","['aplikasinya', 'dibikin', 'berbayar', 'nanggung', 'kali']",aplikasi bikin bayar nanggung kali,aplikasi bikin bayar nangung kali
1,anak mgntot kau saya padahal ga pakai perbayar malah nyuruh bayar ga jelas ni apk,anak mgntot kau saya padahal ga pakai perbayar malah nyuruh bayar ga jelas ni apk,anak mgntot kau saya padahal ga pakai perbayar malah nyuruh bayar ga jelas ni apk,anak mgntot kau saya padahal ga pakai perbayar malah nyuruh bayar ga jelas ni apk,"['anak', 'mgntot', 'kau', 'saya', 'padahal', 'ga', 'pakai', 'perbayar', 'malah', 'nyuruh', 'bayar', 'ga', 'jelas', 'ni', 'apk']","['anak', 'mgntot', 'kau', 'ga', 'pakai', 'perbayar', 'nyuruh', 'bayar', 'ga', 'ni', 'apk']",anak mgntot kau ga pakai bayar nyuruh bayar ga ni apk,anak mgntot kau gak pakai bayar nyuruh bayar gak aplikasi
1,kebanyakan iklan meding aplikasi sebelah,kebanyakan iklan meding aplikasi sebelah,kebanyakan iklan meding aplikasi sebelah,kebanyakan iklan meding aplikasi sebelah,"['kebanyakan', 'iklan', 'meding', 'aplikasi', 'sebelah']","['kebanyakan', 'iklan', 'meding', 'aplikasi', 'sebelah']",banyak iklan meding aplikasi belah,banyak iklan meding aplikasi belah
1,apk kikir jir,apk kikir jir,apk kikir jir,apk kikir jir,"['apk', 'kikir', 'jir']","['apk', 'kikir', 'jir']",apk kikir jir,aplikasi kikir jir
2,disuruh bayar mulu lu kira smua orang kaya napa,disuruh bayar mulu lu kira smua orang kaya napa,disuruh bayar mulu lu kira smua orang kaya napa,disuruh bayar mulu lu kira smua orang kaya napa,"['disuruh', 'bayar', 'mulu', 'lu', 'kira', 'smua', 'orang', 'kaya', 'napa']","['disuruh', 'bayar', 'mulu', 'lu', 'smua', 'orang', 'kaya', 'napa']",suruh bayar mulu lu smua orang kaya napa,suruh bayar mulu smua orang kaya napa
1,"kalau pro in fitur mikir mas, gak semuamuanya lu pro in. mo haji apa gimana dah lu buset","kalau pro in fitur mikir mas, gak semuamuanya lu pro in. mo haji apa gimana dah lu buset",kalau pro in fitur mikir mas gak semuamuanya lu pro in mo haji apa gimana dah lu buset,kalau pro in fitur mikir mas gak semuamuanya lu pro in mo haji apa gimana dah lu buset,"['kalau', 'pro', 'in', 'fitur', 'mikir', 'mas', 'gak', 'semuamuanya', 'lu', 'pro', 'in', 'mo', 'haji', 'apa', 'gimana', 'dah', 'lu', 'buset']","['pro', 'in', 'fitur', 'mikir', 'mas', 'gak', 'semuamuanya', 'lu', 'pro', 'in', 'mo', 'haji', 'gimana', 'dah', 'lu', 'buset']",pro in fitur mikir mas gak semuamuanya lu pro in mo haji gimana dah lu buset,pro fitur mikir mas gak semuamuanya pro mau haji gimana dah buset
1,"nggak langganan tiba2 bayar sendiri, mana mahal lagi, perampokan","nggak langganan tiba2 bayar sendiri, mana mahal lagi, perampokan",nggak langganan tiba bayar sendiri mana mahal lagi perampokan,nggak langganan tiba bayar sendiri mana mahal lagi perampokan,"['nggak', 'langganan', 'tiba', 'bayar', 'sendiri', 'mana', 'mahal', 'lagi', 'perampokan']","['nggak', 'langganan', 'bayar', 'mahal', 'perampokan']",nggak langgan bayar mahal ampo,ngak langan bayar mahal ampo
2,"apk nya banyak iklan berbayar semua kebelet haji ya cut, perasaan dulu ga kaya gini gara' viral jadi gini apk nya semua berbayar","apk nya banyak iklan berbayar semua kebelet haji ya cut, perasaan dulu ga kaya gini gara' viral jadi gini apk nya semua berbayar",apk nya banyak iklan berbayar semua kebelet haji ya cut perasaan dulu ga kaya gini gara viral jadi gini apk nya semua berbayar,apk nya banyak iklan berbayar semua kebelet haji ya cut perasaan dulu ga kaya gini gara viral jadi gini apk nya semua berbayar,"['apk', 'nya', 'banyak', 'iklan', 'berbayar', 'semua', 'kebelet', 'haji', 'ya', 'cut', 'perasaan', 'dulu', 'ga', 'kaya', 'gini', 'gara', 'viral', 'jadi', 'gini', 'apk', 'nya', 'semua', 'berbayar']","['apk', 'nya', 'iklan', 'berbayar', 'kebelet', 'haji', 'ya', 'cut', 'perasaan', 'ga', 'kaya', 'gini', 'gara', 'viral', 'gini', 'apk', 'nya', 'berbayar']",apk nya iklan bayar kebelet haji ya cut asa ga kaya gin gara viral gin apk nya bayar,aplikasi nya iklan bayar kebelet haji cut asa gak kaya gin gara viral gin aplikasi nya bayar
5,"saya menyukai aplikasinya , tapi syantik menyukai iklannya","saya menyukai aplikasinya , tapi syantik menyukai iklannya",saya menyukai aplikasinya  tapi syantik menyukai iklannya,saya menyukai aplikasinya  tapi syantik menyukai iklannya,"['saya', 'menyukai', 'aplikasinya', 'tapi', 'syantik', 'menyukai', 'iklannya']","['menyukai', 'aplikasinya', 'syantik', 'menyukai', 'iklannya']",suka aplikasi syantik suka iklan,suka aplikasi syantik suka iklan
1,"capcut semakin lama semakin tidak jelas, padahal mau ekspor tapi muncul tulisan ""kesalahan teknis"" terus menerus disuruh coba lagi tetep tidak bisa","capcut semakin lama semakin tidak jelas, padahal mau ekspor tapi muncul tulisan ""kesalahan teknis"" terus menerus disuruh coba lagi tetep tidak bisa",capcut semakin lama semakin tidak jelas padahal mau ekspor tapi muncul tulisan kesalahan teknis terus menerus disuruh coba lagi tetep tidak bisa,capcut semakin lama semakin tidak jelas padahal mau ekspor tapi muncul tulisan kesalahan teknis terus menerus disuruh coba lagi tetep tidak bisa,"['capcut', 'semakin', 'lama', 'semakin', 'tidak', 'jelas', 'padahal', 'mau', 'ekspor', 'tapi', 'muncul', 'tulisan', 'kesalahan', 'teknis', 'terus', 'menerus', 'disuruh', 'coba', 'lagi', 'tetep', 'tidak', 'bisa']","['capcut', 'ekspor', 'muncul', 'tulisan', 'kesalahan', 'teknis', 'menerus', 'disuruh', 'coba', 'tetep']",capcut ekspor muncul tulis salah teknis terus suruh coba tetep,capcut ekspor muncul tulis salah teknis terus suruh coba tetep
1,"aplikasi udah gak mau di pake mengedit,ada ada aja, katanya harus bayar kredit lah apalah","aplikasi udah gak mau di pake mengedit,ada ada aja, katanya harus bayar kredit lah apalah",aplikasi udah gak mau di pake mengeditada ada aja katanya harus bayar kredit lah apalah,aplikasi udah gak mau di pake mengeditada ada aja katanya harus bayar kredit lah apalah,"['aplikasi', 'udah', 'gak', 'mau', 'di', 'pake', 'mengeditada', 'ada', 'aja', 'katanya', 'harus', 'bayar', 'kredit', 'lah', 'apalah']","['aplikasi', 'udah', 'gak', 'pake', 'mengeditada', 'aja', 'bayar', 'kredit', 'apalah']",aplikasi udah gak pake mengeditada aja bayar kredit apa,aplikasi udah gak pake mengeditada aja bayar kredit apa
1,tanpa pemberitahuan saldo terpotong,tanpa pemberitahuan saldo terpotong,tanpa pemberitahuan saldo terpotong,tanpa pemberitahuan saldo terpotong,"['tanpa', 'pemberitahuan', 'saldo', 'terpotong']","['pemberitahuan', 'saldo', 'terpotong']",pemberitahuan saldo potong,pemberitahuan saldo potong
3,"iklannya tambah banyak... kadang waktu mau expor tiba2 macet aplikasinya ga mau dipencet ... akhirnya buka dari awal lagi, iklan lagi, hasil editan yg belum selesai hilang😌","iklannya tambah banyak... kadang waktu mau expor tiba2 macet aplikasinya ga mau dipencet ... akhirnya buka dari awal lagi, iklan lagi, hasil editan yg belum selesai hilang😌",iklannya tambah banyak kadang waktu mau expor tiba macet aplikasinya ga mau dipencet  akhirnya buka dari awal lagi iklan lagi hasil editan yg belum selesai hilang,iklannya tambah banyak kadang waktu mau expor tiba macet aplikasinya ga mau dipencet  akhirnya buka dari awal lagi iklan lagi hasil editan yg belum selesai hilang,"['iklannya', 'tambah', 'banyak', 'kadang', 'waktu', 'mau', 'expor', 'tiba', 'macet', 'aplikasinya', 'ga', 'mau', 'dipencet', 'akhirnya', 'buka', 'dari', 'awal', 'lagi', 'iklan', 'lagi', 'hasil', 'editan', 'yg', 'belum', 'selesai', 'hilang']","['iklannya', 'kadang', 'expor', 'macet', 'aplikasinya', 'ga', 'dipencet', 'buka', 'iklan', 'hasil', 'editan', 'yg', 'selesai', 'hilang']",iklan kadang expor macet aplikasi ga pencet buka iklan hasil edit yg selesai hilang,iklan kadang expor macet aplikasi gak pencet buka iklan hasil edit yang selesai hilang
5,bagus,bagus,bagus,bagus,['bagus'],['bagus'],bagus,bagus
2,makin kayak sampab,makin kayak sampab,makin kayak sampab,makin kayak sampab,"['makin', 'kayak', 'sampab']","['kayak', 'sampab']",kayak sampab,kayak sampab
3,"banyak iklan nya pliss.. setiap mau pake template nya harus iklan..lama² jadi nya bosenn, tolong kurangi iklan nya yaa.. udahh baguss template nya cuman,,ya itu iklan nya banyak banget","banyak iklan nya pliss.. setiap mau pake template nya harus iklan..lama² jadi nya bosenn, tolong kurangi iklan nya yaa.. udahh baguss template nya cuman,,ya itu iklan nya banyak banget",banyak iklan nya pliss setiap mau pake template nya harus iklanlama jadi nya bosenn tolong kurangi iklan nya yaa udahh baguss template nya cumanya itu iklan nya banyak banget,banyak iklan nya pliss setiap mau pake template nya harus iklanlama jadi nya bosenn tolong kurangi iklan nya yaa udahh baguss template nya cumanya itu iklan nya banyak banget,"['banyak', 'iklan', 'nya', 'pliss', 'setiap', 'mau', 'pake', 'template', 'nya', 'harus', 'iklanlama', 'jadi', 'nya', 'bosenn', 'tolong', 'kurangi', 'iklan', 'nya', 'yaa', 'udahh', 'baguss', 'template', 'nya', 'cumanya', 'itu', 'iklan', 'nya', 'banyak', 'banget']","['iklan', 'nya', 'pliss', 'pake', 'template', 'nya', 'iklanlama', 'nya', 'bosenn', 'tolong', 'kurangi', 'iklan', 'nya', 'yaa', 'udahh', 'baguss', 'template', 'nya', 'cumanya', 'iklan', 'nya', 'banget']",iklan nya pliss pake template nya iklanlama nya bosenn tolong kurang iklan nya yaa udahh baguss template nya cuma iklan nya banget,iklan nya plis pake template nya iklanlama nya bosen tolong kurang iklan nya udah bagus template nya cuma iklan nya banget
2,bgs tp gk bisa di dowload pdhl dah ulang ulang mulu ttp g bsaa trs pnyimpanan pnh pdhall engga ribett bgtt mau ngedowliadnya jg,bgs tp gk bisa di dowload pdhl dah ulang ulang mulu ttp g bsaa trs pnyimpanan pnh pdhall engga ribett bgtt mau ngedowliadnya jg,bgs tp gk bisa di dowload pdhl dah ulang ulang mulu ttp g bsaa trs pnyimpanan pnh pdhall engga ribett bgtt mau ngedowliadnya jg,bgs tp gk bisa di dowload pdhl dah ulang ulang mulu ttp g bsaa trs pnyimpanan pnh pdhall engga ribett bgtt mau ngedowliadnya jg,"['bgs', 'tp', 'gk', 'bisa', 'di', 'dowload', 'pdhl', 'dah', 'ulang', 'ulang', 'mulu', 'ttp', 'g', 'bsaa', 'trs', 'pnyimpanan', 'pnh', 'pdhall', 'engga', 'ribett', 'bgtt', 'mau', 'ngedowliadnya', 'jg']","['bgs', 'tp', 'gk', 'dowload', 'pdhl', 'dah', 'ulang', 'ulang', 'mulu', 'ttp', 'g', 'bsaa', 'trs', 'pnyimpanan', 'pnh', 'pdhall', 'engga', 'ribett', 'bgtt', 'ngedowliadnya', 'jg']",bgs tp gk dowload pdhl dah ulang ulang mulu ttp g bsaa trs pnyimpanan pnh pdhall engga ribett bgtt ngedowliadnya jg,bgs gak dowload padahal dah ulang ulang mulu bsa terus pnyimpanan pnh pdhal enga ribet bgt ngedowliadnya
5,baguss sekaliiii kusukaaaa kusukaa,baguss sekaliiii kusukaaaa kusukaa,baguss sekaliiii kusukaaaa kusukaa,baguss sekaliiii kusukaaaa kusukaa,"['baguss', 'sekaliiii', 'kusukaaaa', 'kusukaa']","['baguss', 'sekaliiii', 'kusukaaaa', 'kusukaa']",baguss sekaliiii kusukaaaa kusukaa,bagus sekali kusuka kusuka
1,mboh,mboh,mboh,mboh,['mboh'],['mboh'],mboh,mboh
1,download napa 😡😡😡,download napa 😡😡😡,download napa ,download napa ,"['download', 'napa']","['download', 'napa']",download napa,download napa
5,karena bisa mengedit dengen lancar,karena bisa mengedit dengen lancar,karena bisa mengedit dengen lancar,karena bisa mengedit dengen lancar,"['karena', 'bisa', 'mengedit', 'dengen', 'lancar']","['mengedit', 'dengen', 'lancar']",edit dengen lancar,edit dengen lancar
1,👎👎👎👎,👎👎👎👎,,,[],[],,nan
2,tolong kembalikan dana sayayaallah,tolong kembalikan dana sayayaallah,tolong kembalikan dana sayayaallah,tolong kembalikan dana sayayaallah,"['tolong', 'kembalikan', 'dana', 'sayayaallah']","['tolong', 'kembalikan', 'dana', 'sayayaallah']",tolong kembali dana sayayaallah,tolong kembali dana sayayalah
